candidate_idx	isc_score	participant_ids
36	0.2894421969	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN011,sub-CN013,sub-CN015,sub-CN016,sub-CN018,sub-CN019,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
37	0.2960503865	sub-CN001,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN009,sub-CN010,sub-CN011,sub-CN014,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN036,sub-CN037
38	0.2971891608	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN007,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN025,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN034,sub-CN036,sub-CN037
39	0.2919705625	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
40	0.2977395742	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN020,sub-CN021,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
41	0.2966332654	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN010,sub-CN011,sub-CN015,sub-CN016,sub-CN018,sub-CN019,sub-CN020,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN034,sub-CN036,sub-CN037
42	0.3021624113	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN020,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN029,sub-CN030,sub-CN031,sub-CN033,sub-CN036,sub-CN037
43	0.3005989239	sub-CN001,sub-CN003,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN013,sub-CN014,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN022,sub-CN023,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
44	0.3066605781	sub-CN001,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN017,sub-CN018,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036
45	0.2945200017	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN011,sub-CN013,sub-CN014,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN023,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
46	0.3092233475	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN007,sub-CN008,sub-CN010,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN022,sub-CN023,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN036,sub-CN037
47	0.2982330623	sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN032,sub-CN033,sub-CN034,sub-CN036
48	0.2881538273	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN017,sub-CN018,sub-CN019,sub-CN021,sub-CN022,sub-CN024,sub-CN025,sub-CN026,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN034,sub-CN036,sub-CN037
49	0.3013111990	sub-CN001,sub-CN002,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN029,sub-CN032,sub-CN033,sub-CN036
